Rank,Stock,Sector,Price,Change (%),Volume,Score
1,RBL Bank Ltd,Financials,267.0,2.01%,36143299,39
2,MSP Steel & Power Ltd,Materials,34.54,10.0%,3777650,14
3,SPML Infra Ltd,Industrials,307.97,9.04%,3733642,12
4,Asian Energy Services Ltd,Energy,351.0,9.02%,1785538,10
5,Jainik Power Cables Ltd,Industrials,106.8,8.15%,212400,9
6,Diamond Power Infrastructure Ltd,Industrials,169.3,3.31%,2935527,7
7,Diamond Power Infrastructure Ltd,Industrials,169.3,3.31%,2935527,7
8,City Union Bank Ltd,Financials,213.6,3.17%,2145952,6
9,PVV Infra Ltd,Industrials,5.2,3.79%,258427,5
10,Fino Payments Bank Ltd,Financials,267.05,2.79%,352658,4
11,Smarten Power Systems Ltd,Industrials,130.7,2.47%,294000,3
12,HPL Electric & Power Ltd,Industrials,571.55,2.98%,358795,3
13,Om Infra Ltd,Industrials,120.5,2.44%,177209,3
14,K.P. Energy Ltd,Utilities,520.8,3.42%,464586,3
15,Ge Power India Ltd,Industrials,307.95,2.58%,336061,2
16,Jana Small Finance Bank Ltd,Financials,473.95,2.22%,322613,2
